Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2018-03-20 18:43:13,2018-03-20 18:43:19,5.304s,FAILED
,,,,,,
Test Cases/TestCase01,,,2018-03-20 18:43:14,2018-03-20 18:43:19,4.401s,FAILED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestDataQAWorksAcceptanceContactForm).getRowNumbers(), (row++)])",,,2018-03-20 18:43:15,2018-03-20 18:43:19,3.600s,FAILED
