Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2018-03-20 18:30:34,2018-03-20 18:30:39,4.602s,FAILED
,,,,,,
Test Cases/TestCase01,,,2018-03-20 18:30:35,2018-03-20 18:30:39,3.649s,FAILED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestDataQAWorksAcceptanceContactForm).getRowNumbers(), (row++)])",,,2018-03-20 18:30:36,2018-03-20 18:30:39,2.787s,FAILED
