Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,IE 11,,2018-03-20 18:39:05,2018-03-20 18:39:15,9.757s,FAILED
,,,,,,
Test Cases/TestCase01,IE 11,,2018-03-20 18:39:06,2018-03-20 18:39:14,8.333s,FAILED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestDataQAWorksAcceptanceContactForm).getRowNumbers(), (row++)])",IE 11,,2018-03-20 18:39:07,2018-03-20 18:39:14,7.531s,FAILED
