Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2018-03-20 18:40:18,2018-03-20 18:40:23,4.208s,FAILED
,,,,,,
Test Cases/TestCase01,,,2018-03-20 18:40:19,2018-03-20 18:40:22,3.288s,FAILED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestDataQAWorksAcceptanceContactForm).getRowNumbers(), (row++)])",,,2018-03-20 18:40:20,2018-03-20 18:40:22,2.484s,FAILED
